Maschinen,+ 2006/42/EG,
auswechselbare Ausrüstungen,+ 2006/42/EG,
Sicherheitsbauteile,+ 2006/42/EG,+ 2014/34/EU
Lastaufnahmemittel,+ 2006/42/EG,
Ketten Seile und Gurte,+ 2006/42/EG,
abnehmbare Gelenkwellen,+ 2006/42/EG,
unvollständige Maschinen,+ 2006/42/EG,
Waffen (Feuerwaffen),- 2006/42/EG,
Schachtförderanlagen,- 2006/42/EG,
für den häuslichen Gebrauch bestimmtes Haushaltsgerät,- 2006/42/EG,
Audio- order Videogerät,- 2006/42/EG,
informationstechnische Geräte,- 2006/42/EG,
gewöhnliche Büromaschine,- 2006/42/EG,
Niederspannungsschaltgeräte und -steuergeräte,- 2006/42/EG,
Elektromotoren,- 2006/42/EG,
Hochspannungsschaltgeräte und -steuergeräte,- 2006/42/EG,
Hochspannungstranformatoren,- 2006/42/EG,
Fahrzeug,+ 2006/42/EG,
