Maschine,+ 2006/42/EG,,
auswechselbare Ausruestungen,+ 2006/42/EG,,
Sicherheitsbauteile,+ 2006/42/EG,,
Lastaufnahmemittel,+ 2006/42/EG,,
Ketten,,+ 2006/42/EG,
Seile,+ 2006/42/EG,,
Gurte,+ 2006/42/EG,,
abnehmbare Gelenkwellen,+ 2006/42/EG,,
unvollstaendige Maschinen,- 2006/42/EG,,
Audio- und Videogeraete, - 2006/42/EG,+2014/35/EU,
Informationstechnische Geraete,- 2006/42/EG,+2014/35/EU,
gewoehnliche Bueromaschinen,- 2006/42/EG,+2014/35/EU,
Niederspannungsschaltgeraete,- 2006/42/EG,+2014/35/EU,
Steuergeraete ,- 2006/42/EG,+2014/35/EU,-2014/68/EU
Elektromotoren ,- 2006/42/EG,+2014/35/EU,
Schaltgeraete ,- 2006/42/EG,+2014/35/EU,-2014/68/EU
Transformatoren,- 2006/42/EG,+2014/35/EU, -2014/68/EU
Waffen , - 2006/42/EG,,
Feuerwaffen ,- 2006/42/EG,,
land Fahrzeuge ,- 2006/42/EG,-2014/68/EU,
forstwirtschaftlichen Fahrzeuge ,- 2006/42/EG, -2014/68/EU,
Sportliche Wettbewerbe Kraftfahrzeuge ,- 2006/42/EG,,
Luft Befoerderungsmittel,- 2006/42/EG,,
Wasser Bef�rderungsmittel,- 2006/42/EG,,
Schienennetzen Bef�rderungsmittel,- 2006/42/EG,,
Schachtf�rderanlagen,- 2006/42/EG,,
radiologische Ger�te, - 2006/42/EG,-2014/35/EU,
medizinische Ger�te,- 2006/42/EG,-2014/35/EU,- 94/9/EG
mensh aufz�gen Elektrische Teile ,-2014/35/EU,,
lasten aufz�gen Elektrische Teile,-2014/35/EU,,
elektrizit�tsz�hler,-2014/35/EU,,
Funkentst�rung,-2014/35/EU,,
Pers�nliche Schutzausr�stungen,- 94/9/EG,,
Bef�rderungsmittel,- 94/9/EG,,
Behaelter,+2014/68/EU,,
Rohrleitung,+2014/68/EU,,
Dampferzeuger,+2014/68/EU,,
Kessel,+2014/68/EU,,
Wasser Versorgung netze,-2014/68/EU,,
Wasserkraftanlagen  Triebwasserwege,-2014/68/EU,,
Druckrohre,-2014/68/EU,,
Druckstollen,-2014/68/EU,,
Druckschachte,-2014/68/EU,,
Aerosolpackungen,-2014/68/EU,,
zwei- drei-vierr�drigen Fahrzeugen,-2014/68/EU,,
Gasverbrauchseinrichtungen,-2014/68/EU,,
Bohrlochkontrollgeraete,-2014/68/EU,,
Motor,-2014/68/EU,,
Turbine,-2014/68/EU,,
Motoren mit innerer Verbrennung,-2014/68/EU,,
Dampfmaschinen,-2014/68/EU,,
Gas- oder Dampfturbinen,-2014/68/EU,,
Turbogeneratoren,-2014/68/EU,,
Verdichter,-2014/68/EU,,
Pumpen,-2014/68/EU,,
Stelleinrichtungen,-2014/68/EU,,
Hocho_fen mit Ofenku_hlung,-2014/68/EU,,
Auspuff- und Ansaugschallda_mpfer,-2014/68/EU,,
Hochspannungsausr�stungen,- 2006/42/EG,,
Vorrichtungen zur Stromversorgung von elektrischen Weidezaeunen,- 2014/35/EU,,
Elektrizitätszaehler,- 2014/35/EU,,
Elektrische Teile von Personen- und Lastenaufzuegen,- 2014/35/EU,,
